variant,cache_hit_rate,precision,recall,f1,latency_saved_ms,battery_overhead_pct,f1,eval_time_s
No_RL,0.5563,0.1684,0.5563,0.2586,354.7,0.3303,0.2586,54.92
Graph+Confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19
Graph+Confidence+NoRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.94
Graph+RL,0.185,1.0,0.185,0.3123,147.62,0.0185,0.3123,12.88
Full_System,0.1854,1.0,0.1854,0.3128,147.96,0.0185,0.3128,13.88
No_Graph,0.3258,0.0815,0.3258,0.1303,206.2,0.4,0.1303,0.31
No_ConfidencePrefetch,0.1846,1.0,0.1846,0.3117,147.31,0.0185,0.3117,13.22
No_Security,0.1846,1.0,0.1846,0.3117,147.31,0.0185,0.3117,12.28
No_Context,0.2295,1.0,0.2295,0.3733,183.19,0.023,0.3733,26.24
