user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
34_F,RecencyFrequency,0.9452,0.2762,0.6561,0.3887,2212.83,80.09
34_F,Markov-1,0.976,0.637,0.8958,0.7446,2258.69,81.75
34_F,Markov-2,0.976,0.6473,0.8698,0.7422,2259.28,81.77
34_F,VariableOrderMarkov,0.9623,0.2727,0.6521,0.3845,2236.48,80.94
34_F,ContextMarkov,0.9521,0.2665,0.645,0.3772,2222.25,80.43
34_F,ClusterMarkov,0.9418,0.2661,0.6431,0.3764,2207.03,79.88
34_F,GlobalMarkov2,0.9521,0.5615,0.8506,0.6765,2224.23,80.5
34_F,GraphOnly,0.976,0.637,0.8958,0.7446,2258.69,81.75
34_F,Graph+Confidence,0.9692,0.665,0.9024,0.7657,2247.88,81.36
34_F,GraphMindRL,0.9623,0.6715,0.8864,0.7641,2237.87,80.99
34_F,RLAdaptiveEnsemble,0.9452,0.267,0.6455,0.3777,2211.45,80.04
28_F,Random,0.6445,0.125,0.4167,0.1923,1498.21,54.22
28_F,LRU,0.8663,0.3366,0.7138,0.4575,1823.21,65.99
28_F,LFU,0.8736,0.3631,0.74,0.4872,1833.76,66.37
28_F,Frequency,0.8498,0.3198,0.7015,0.4393,1799.05,65.11
28_F,RecencyFrequency,0.8581,0.3253,0.7068,0.4455,1811.23,65.55
28_F,Markov-1,0.8661,0.3903,0.7597,0.5157,1822.36,65.96
28_F,Markov-2,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
28_F,VariableOrderMarkov,0.8466,0.3318,0.7129,0.4529,1794.03,64.93
28_F,ContextMarkov,0.8396,0.322,0.7037,0.4418,1783.87,64.56
28_F,ClusterMarkov,0.8188,0.3059,0.6872,0.4233,1753.46,63.46
28_F,GlobalMarkov2,0.8244,0.3506,0.7106,0.4695,1761.6,63.76
28_F,GraphOnly,0.8661,0.3903,0.7597,0.5157,1822.36,65.96
28_F,Graph+Confidence,0.8613,0.425,0.7847,0.5514,1815.92,65.72
28_F,GraphMindRL,0.8631,0.4428,0.7638,0.5606,1818.52,65.82
28_F,RLAdaptiveEnsemble,0.8439,0.3202,0.7019,0.4397,1789.86,64.78
33_F,Random,0.7864,0.1448,0.4585,0.2201,1843.22,66.71
33_F,LRU,0.9034,0.5605,0.8585,0.6782,2012.6,72.84
33_F,LFU,0.9045,0.5864,0.876,0.7025,2014.36,72.9
33_F,Frequency,0.9065,0.5763,0.8718,0.6939,2017.2,73.01
33_F,RecencyFrequency,0.9065,0.5763,0.8718,0.6939,2017.2,73.01
33_F,Markov-1,0.9119,0.6473,0.9007,0.7533,2024.0,73.25
33_F,Markov-2,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
33_F,VariableOrderMarkov,0.8921,0.639,0.8985,0.7468,1996.93,72.27
33_F,ContextMarkov,0.8904,0.6331,0.8961,0.742,1994.42,72.18
33_F,ClusterMarkov,0.8814,0.6274,0.8938,0.7373,1980.85,71.69
