phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase7_rl,12_M,RL_F1Reward,0.8787,0.4311,0.6942,0.5319,1468.36,53.14
phase7_rl,12_M,RL_LatencyFocus,0.8787,0.3942,0.7442,0.5154,1468.36,53.14
phase7_rl,16_F,RL_Threshold,0.936,0.6614,0.8307,0.7365,2142.63,77.55
phase7_rl,16_F,RL_PrecisionFocus,0.9407,0.6547,0.879,0.7504,2149.47,77.79
phase7_rl,16_F,RL_RecallFocus,0.9407,0.6547,0.879,0.7504,2149.47,77.79
phase7_rl,16_F,RL_F1Reward,0.936,0.6611,0.8303,0.7361,2142.63,77.55
phase7_rl,16_F,RL_LatencyFocus,0.936,0.6752,0.8605,0.7567,2142.63,77.55
phase7_rl,21_F,RL_Threshold,0.8795,0.4955,0.7314,0.5908,1862.99,67.43
phase7_rl,21_F,RL_PrecisionFocus,0.8986,0.4035,0.7616,0.5275,1890.31,68.42
phase7_rl,21_F,RL_RecallFocus,0.8986,0.4035,0.7616,0.5275,1890.31,68.42
phase7_rl,21_F,RL_F1Reward,0.8795,0.496,0.7299,0.5907,1862.99,67.43
phase7_rl,21_F,RL_LatencyFocus,0.8795,0.4869,0.7299,0.5841,1862.99,67.43
phase7_rl,7_F,RL_Threshold,0.9604,0.7309,0.889,0.8023,1857.65,67.23
phase7_rl,7_F,RL_PrecisionFocus,0.9633,0.711,0.9232,0.8033,1861.9,67.39
phase7_rl,7_F,RL_RecallFocus,0.9633,0.711,0.9232,0.8033,1861.9,67.39
phase7_rl,7_F,RL_F1Reward,0.9604,0.7306,0.8889,0.802,1857.65,67.23
phase7_rl,7_F,RL_LatencyFocus,0.9604,0.7174,0.9187,0.8057,1857.65,67.23
phase7_rl,6_M,RL_Threshold,0.9217,0.6322,0.7893,0.7021,2062.47,74.65
phase7_rl,6_M,RL_PrecisionFocus,0.9316,0.5586,0.8192,0.6643,2077.05,75.17
phase7_rl,6_M,RL_RecallFocus,0.9316,0.5586,0.8192,0.6643,2077.05,75.17
phase7_rl,6_M,RL_F1Reward,0.9217,0.6341,0.7893,0.7032,2062.47,74.65
phase7_rl,6_M,RL_LatencyFocus,0.9259,0.6392,0.7935,0.7081,2068.72,74.87
phase7_rl,8_M,RL_Threshold,0.9816,0.8341,0.9312,0.88,2365.64,85.62
phase7_rl,8_M,RL_PrecisionFocus,0.9816,0.849,0.9628,0.9023,2365.64,85.62
phase7_rl,8_M,RL_RecallFocus,0.9816,0.849,0.9628,0.9023,2365.64,85.62
phase7_rl,8_M,RL_F1Reward,0.9816,0.8341,0.9312,0.88,2365.64,85.62
phase7_rl,8_M,RL_LatencyFocus,0.9816,0.8448,0.9379,0.8889,2365.64,85.62
phase7_rl,27_F,RL_Threshold,0.7216,0.384,0.6255,0.4759,1320.31,47.79
phase7_rl,27_F,RL_PrecisionFocus,0.7258,0.3184,0.6747,0.4327,1326.65,48.01
phase7_rl,27_F,RL_RecallFocus,0.7258,0.3184,0.6747,0.4327,1326.65,48.01
phase7_rl,27_F,RL_F1Reward,0.7208,0.3831,0.6228,0.4744,1319.27,47.75
phase7_rl,27_F,RL_LatencyFocus,0.7216,0.3432,0.6559,0.4506,1320.31,47.79
phase7_rl,24_F,RL_Threshold,0.9774,0.7323,0.8896,0.8033,2028.24,73.41
phase7_rl,24_F,RL_PrecisionFocus,0.9786,0.7192,0.9253,0.8093,2030.23,73.48
phase7_rl,24_F,RL_RecallFocus,0.9786,0.7192,0.9253,0.8093,2030.23,73.48
phase7_rl,24_F,RL_F1Reward,0.9774,0.7323,0.8896,0.8034,2028.24,73.41
phase7_rl,24_F,RL_LatencyFocus,0.9774,0.7202,0.9183,0.8072,2028.24,73.41
phase7_rl,13_F,RL_Threshold,0.9432,0.5677,0.7907,0.6609,2049.82,74.19
phase7_rl,13_F,RL_PrecisionFocus,0.946,0.5619,0.8564,0.6786,2053.84,74.33
phase7_rl,13_F,RL_RecallFocus,0.946,0.5619,0.8564,0.6786,2053.84,74.33
phase7_rl,13_F,RL_F1Reward,0.9432,0.5681,0.7907,0.6611,2049.82,74.19
phase7_rl,13_F,RL_LatencyFocus,0.9432,0.5744,0.8392,0.682,2049.82,74.19
phase7_rl,17_F,RL_Threshold,0.9639,0.7729,0.8873,0.8262,2307.06,83.5
phase7_rl,17_F,RL_PrecisionFocus,0.9697,0.7048,0.9046,0.7923,2315.51,83.8
phase7_rl,17_F,RL_RecallFocus,0.9697,0.7048,0.9046,0.7923,2315.51,83.8
phase7_rl,17_F,RL_F1Reward,0.9639,0.7751,0.8881,0.8277,2307.06,83.5
phase7_rl,17_F,RL_LatencyFocus,0.9653,0.7871,0.8867,0.8339,2309.17,83.57
phase7_rl,29_F,RL_Threshold,0.9804,0.8842,0.9393,0.9109,1783.56,64.55
phase7_rl,29_F,RL_PrecisionFocus,0.9795,0.8648,0.9541,0.9072,1782.4,64.51
phase7_rl,29_F,RL_RecallFocus,0.9795,0.8648,0.9541,0.9072,1782.4,64.51
phase7_rl,29_F,RL_F1Reward,0.9775,0.8765,0.9407,0.9074,1779.28,64.4
phase7_rl,29_F,RL_LatencyFocus,0.9795,0.888,0.9397,0.9131,1782.13,64.5
phase7_rl,22_M,RL_Threshold,0.9642,0.7712,0.9074,0.8338,1768.66,64.01
phase7_rl,22_M,RL_PrecisionFocus,0.9662,0.7248,0.927,0.8135,1771.63,64.12
phase7_rl,22_M,RL_RecallFocus,0.9662,0.7248,0.927,0.8135,1771.63,64.12
phase7_rl,22_M,RL_F1Reward,0.9638,0.7714,0.9072,0.8338,1768.06,63.99
phase7_rl,22_M,RL_LatencyFocus,0.9654,0.7226,0.9214,0.81,1770.44,64.08
phase7_rl,26_F,RL_Threshold,0.9752,0.7875,0.9127,0.8455,2315.44,83.8
phase7_rl,26_F,RL_PrecisionFocus,0.9784,0.7773,0.9404,0.8511,2320.13,83.97
phase7_rl,26_F,RL_RecallFocus,0.9784,0.7773,0.9404,0.8511,2320.13,83.97
phase7_rl,26_F,RL_F1Reward,0.9752,0.7875,0.9127,0.8455,2315.44,83.8
phase7_rl,26_F,RL_LatencyFocus,0.9752,0.8022,0.9298,0.8613,2315.44,83.8
phase7_rl,23_F,RL_Threshold,0.9225,0.7091,0.8486,0.7726,1950.95,70.61
phase7_rl,23_F,RL_PrecisionFocus,0.9225,0.6669,0.8749,0.7569,1950.95,70.61
phase7_rl,23_F,RL_RecallFocus,0.9225,0.6669,0.8749,0.7569,1950.95,70.61
phase7_rl,23_F,RL_F1Reward,0.9186,0.7114,0.8473,0.7734,1945.28,70.4
phase7_rl,23_F,RL_LatencyFocus,0.9225,0.6945,0.8557,0.7667,1950.95,70.61
phase7_rl,15_F,RL_Threshold,0.948,0.8191,0.9269,0.8697,2263.15,81.91
phase7_rl,15_F,RL_PrecisionFocus,0.948,0.7904,0.9421,0.8596,2263.48,81.92
phase7_rl,15_F,RL_RecallFocus,0.948,0.7904,0.9421,0.8596,2263.48,81.92
phase7_rl,15_F,RL_F1Reward,0.948,0.8191,0.9269,0.8697,2263.15,81.91
phase7_rl,15_F,RL_LatencyFocus,0.9493,0.8126,0.9339,0.8691,2264.96,81.97
phase7_rl,1_M,RL_Threshold,0.9515,0.7019,0.8701,0.777,2217.57,80.26
phase7_rl,1_M,RL_PrecisionFocus,0.9515,0.7102,0.9164,0.8002,2218.46,80.29
phase7_rl,1_M,RL_RecallFocus,0.9515,0.7102,0.9164,0.8002,2218.46,80.29
phase7_rl,1_M,RL_F1Reward,0.9493,0.7029,0.8699,0.7776,2214.35,80.14
phase7_rl,1_M,RL_LatencyFocus,0.9515,0.7241,0.8927,0.7996,2217.57,80.26
phase7_rl,30_F,RL_Threshold,0.9518,0.6741,0.8588,0.7553,2166.54,78.41
