phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase3_time,7_F,TimeAwareM1_6Band,0.9645,0.7459,0.9327,0.8289,1862.88,67.42
phase3_time,7_F,TimeAwareM1_12Band,0.961,0.737,0.9279,0.8215,1857.85,67.24
phase3_time,7_F,TimeAwareM1_24Hour,0.9596,0.7348,0.9255,0.8192,1855.93,67.17
phase3_time,7_F,TimeAwareM1_48Bucket,0.9602,0.7255,0.9185,0.8107,1856.71,67.2
phase3_time,6_M,TimeAwareM1_6Band,0.9231,0.4719,0.7717,0.5857,2065.26,74.75
phase3_time,6_M,TimeAwareM1_12Band,0.916,0.444,0.7426,0.5557,2054.14,74.34
phase3_time,6_M,TimeAwareM1_24Hour,0.9003,0.4534,0.7307,0.5596,2030.53,73.49
phase3_time,6_M,TimeAwareM1_48Bucket,0.9117,0.48,0.7427,0.5831,2047.19,74.09
phase3_time,8_M,TimeAwareM1_6Band,0.9805,0.8281,0.9524,0.8859,2364.14,85.56
phase3_time,8_M,TimeAwareM1_12Band,0.9826,0.829,0.9524,0.8864,2367.13,85.67
phase3_time,8_M,TimeAwareM1_24Hour,0.9836,0.8293,0.9514,0.8862,2368.12,85.71
phase3_time,8_M,TimeAwareM1_48Bucket,0.9867,0.8036,0.9417,0.8672,2372.62,85.87
phase3_time,27_F,TimeAwareM1_6Band,0.6806,0.3181,0.6655,0.4305,1261.62,45.66
phase3_time,27_F,TimeAwareM1_12Band,0.6615,0.2994,0.6387,0.4077,1233.56,44.65
phase3_time,27_F,TimeAwareM1_24Hour,0.6445,0.2982,0.6225,0.4033,1209.12,43.76
phase3_time,27_F,TimeAwareM1_48Bucket,0.6495,0.301,0.6014,0.4012,1216.32,44.02
phase3_time,24_F,TimeAwareM1_6Band,0.9805,0.7812,0.9415,0.8539,2033.13,73.58
phase3_time,24_F,TimeAwareM1_12Band,0.9802,0.7896,0.9398,0.8582,2032.78,73.57
phase3_time,24_F,TimeAwareM1_24Hour,0.9786,0.7806,0.9362,0.8513,2030.53,73.49
phase3_time,24_F,TimeAwareM1_48Bucket,0.9752,0.7719,0.9317,0.8443,2025.5,73.31
phase3_time,13_F,TimeAwareM1_6Band,0.9414,0.4865,0.8141,0.609,2047.33,74.1
phase3_time,13_F,TimeAwareM1_12Band,0.9359,0.4733,0.7984,0.5943,2039.45,73.81
phase3_time,13_F,TimeAwareM1_24Hour,0.9359,0.4665,0.7885,0.5862,2039.45,73.81
phase3_time,13_F,TimeAwareM1_48Bucket,0.9386,0.4822,0.7859,0.5977,2043.71,73.97
phase3_time,17_F,TimeAwareM1_6Band,0.9639,0.6652,0.8866,0.7601,2306.67,83.48
phase3_time,17_F,TimeAwareM1_12Band,0.961,0.667,0.8791,0.7585,2303.12,83.36
phase3_time,17_F,TimeAwareM1_24Hour,0.9523,0.6518,0.8667,0.744,2290.49,82.9
phase3_time,17_F,TimeAwareM1_48Bucket,0.9538,0.6612,0.8594,0.7473,2291.94,82.95
phase3_time,29_F,TimeAwareM1_6Band,0.9765,0.8249,0.9466,0.8816,1778.3,64.36
phase3_time,29_F,TimeAwareM1_12Band,0.9746,0.7883,0.9297,0.8532,1775.18,64.25
phase3_time,29_F,TimeAwareM1_24Hour,0.9726,0.7905,0.9241,0.8521,1772.59,64.15
