user_id,variant,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
24_F,Graph+RL,0.9833,0.8019,0.9403,0.8656,2036.79,73.72
24_F,Full GraphMind,0.9783,0.7148,0.9076,0.7998,2029.76,73.46
13_F,GraphOnly,0.956,0.5007,0.8258,0.6234,2068.6,74.87
13_F,Graph+Confidence,0.946,0.5619,0.8564,0.6786,2053.84,74.33
13_F,Graph+RL,0.9542,0.5173,0.804,0.6296,2066.1,74.78
13_F,Full GraphMind,0.9441,0.5622,0.8289,0.67,2051.16,74.24
17_F,GraphOnly,0.9697,0.6709,0.8965,0.7674,2314.84,83.78
17_F,Graph+Confidence,0.9697,0.7048,0.9046,0.7923,2315.51,83.8
17_F,Graph+RL,0.9639,0.6832,0.8829,0.7703,2306.73,83.49
17_F,Full GraphMind,0.9653,0.7331,0.8992,0.8077,2309.17,83.57
29_F,GraphOnly,0.9834,0.8556,0.9586,0.9042,1788.11,64.72
29_F,Graph+Confidence,0.9795,0.8648,0.9541,0.9072,1782.4,64.51
29_F,Graph+RL,0.9853,0.8207,0.9404,0.8765,1791.16,64.83
29_F,Full GraphMind,0.9785,0.8706,0.9481,0.9077,1780.71,64.45
22_M,GraphOnly,0.9768,0.8019,0.951,0.8701,1787.18,64.68
22_M,Graph+Confidence,0.9662,0.7248,0.927,0.8135,1771.63,64.12
22_M,Graph+RL,0.9732,0.8047,0.9412,0.8676,1781.83,64.49
22_M,Full GraphMind,0.9646,0.7354,0.9153,0.8155,1769.25,64.03
26_F,GraphOnly,0.9848,0.7983,0.9479,0.8667,2329.5,84.31
26_F,Graph+Confidence,0.9784,0.7773,0.9404,0.8511,2320.13,83.97
26_F,Graph+RL,0.9832,0.8172,0.9434,0.8758,2327.16,84.23
26_F,Full GraphMind,0.9776,0.781,0.9295,0.8488,2318.96,83.93
23_F,GraphOnly,0.9147,0.6019,0.8531,0.7058,1940.52,70.23
23_F,Graph+Confidence,0.9225,0.6669,0.8749,0.7569,1950.95,70.61
23_F,Graph+RL,0.9186,0.6274,0.8463,0.7206,1945.8,70.42
23_F,Full GraphMind,0.9225,0.6812,0.8648,0.7621,1950.43,70.59
15_F,GraphOnly,0.9592,0.7605,0.9374,0.8398,2279.52,82.5
15_F,Graph+Confidence,0.948,0.7904,0.9421,0.8596,2263.48,81.92
15_F,Graph+RL,0.9592,0.7815,0.9317,0.8501,2279.52,82.5
15_F,Full GraphMind,0.9455,0.8043,0.9363,0.8653,2259.86,81.79
1_M,GraphOnly,0.9604,0.6356,0.8909,0.7419,2230.26,80.72
