phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase6_graph,7_F,Graph_NodeAppTime12,0.9593,0.7346,0.9271,0.8197,1855.39,67.15
phase6_graph,7_F,Graph_Bigram,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
phase6_graph,6_M,Graph_NodeApp,0.9487,0.5016,0.7966,0.6156,2101.34,76.05
phase6_graph,6_M,Graph_NodeAppTime6,0.9174,0.4696,0.7703,0.5835,2057.63,74.47
phase6_graph,6_M,Graph_NodeAppTime12,0.9131,0.4368,0.7385,0.5489,2049.98,74.19
phase6_graph,6_M,Graph_Bigram,0.9131,0.518,0.7824,0.6233,2049.98,74.19
phase6_graph,8_M,Graph_NodeApp,0.9795,0.8416,0.9627,0.8981,2362.13,85.49
phase6_graph,8_M,Graph_NodeAppTime6,0.9826,0.8263,0.9519,0.8847,2367.13,85.67
phase6_graph,8_M,Graph_NodeAppTime12,0.9805,0.8308,0.9529,0.8877,2364.64,85.58
phase6_graph,8_M,Graph_Bigram,0.9857,0.8555,0.9628,0.906,2372.13,85.85
phase6_graph,27_F,Graph_NodeApp,0.6926,0.313,0.67,0.4267,1279.19,46.3
phase6_graph,27_F,Graph_NodeAppTime6,0.6855,0.3194,0.6669,0.4319,1268.85,45.92
phase6_graph,27_F,Graph_NodeAppTime12,0.6572,0.2998,0.6391,0.4081,1227.36,44.42
phase6_graph,27_F,Graph_Bigram,0.6473,0.3233,0.6361,0.4287,1212.9,43.9
phase6_graph,24_F,Graph_NodeApp,0.9845,0.8111,0.9535,0.8765,2038.58,73.78
phase6_graph,24_F,Graph_NodeAppTime6,0.9795,0.7807,0.9414,0.8535,2031.74,73.53
phase6_graph,24_F,Graph_NodeAppTime12,0.9802,0.7892,0.9398,0.858,2032.78,73.57
phase6_graph,24_F,Graph_Bigram,0.9814,0.7929,0.9432,0.8615,2034.22,73.62
phase6_graph,13_F,Graph_NodeApp,0.956,0.5007,0.8258,0.6234,2068.6,74.87
phase6_graph,13_F,Graph_NodeAppTime6,0.9414,0.4855,0.8136,0.6081,2047.33,74.1
phase6_graph,13_F,Graph_NodeAppTime12,0.935,0.4692,0.7959,0.5903,2038.11,73.76
phase6_graph,13_F,Graph_Bigram,0.9405,0.5149,0.8163,0.6315,2045.96,74.05
phase6_graph,17_F,Graph_NodeApp,0.9697,0.6709,0.8965,0.7674,2314.84,83.78
phase6_graph,17_F,Graph_NodeAppTime6,0.9624,0.6635,0.8865,0.759,2304.95,83.42
phase6_graph,17_F,Graph_NodeAppTime12,0.961,0.6536,0.8754,0.7484,2302.78,83.34
phase6_graph,17_F,Graph_Bigram,0.9639,0.6902,0.891,0.7779,2306.73,83.49
phase6_graph,29_F,Graph_NodeApp,0.9834,0.8556,0.9586,0.9042,1788.11,64.72
phase6_graph,29_F,Graph_NodeAppTime6,0.9756,0.8238,0.9465,0.8809,1777.07,64.32
phase6_graph,29_F,Graph_NodeAppTime12,0.9775,0.7743,0.9263,0.8435,1779.47,64.4
phase6_graph,29_F,Graph_Bigram,0.9785,0.8521,0.9511,0.8989,1780.71,64.45
phase6_graph,22_M,Graph_NodeApp,0.9768,0.8019,0.951,0.8701,1787.18,64.68
phase6_graph,22_M,Graph_NodeAppTime6,0.974,0.7849,0.9429,0.8567,1782.93,64.53
phase6_graph,22_M,Graph_NodeAppTime12,0.974,0.764,0.9353,0.841,1783.02,64.53
phase6_graph,22_M,Graph_Bigram,0.9711,0.8059,0.9406,0.868,1778.86,64.38
phase6_graph,26_F,Graph_NodeApp,0.9848,0.7983,0.9479,0.8667,2329.5,84.31
phase6_graph,26_F,Graph_NodeAppTime6,0.98,0.788,0.9393,0.857,2322.29,84.05
phase6_graph,26_F,Graph_NodeAppTime12,0.9816,0.8037,0.9373,0.8654,2324.81,84.14
phase6_graph,26_F,Graph_Bigram,0.9872,0.8014,0.9423,0.8661,2333.01,84.44
phase6_graph,23_F,Graph_NodeApp,0.9147,0.6019,0.8531,0.7058,1940.52,70.23
phase6_graph,23_F,Graph_NodeAppTime6,0.9167,0.611,0.8441,0.7089,1942.45,70.3
